"~id","~start_node_id","~end_node_id","~relationship_type"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847004","4:7856e765-51e7-420d-bd24-570ba6669a83:28","4:7856e765-51e7-420d-bd24-570ba6669a83:54","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847209","4:7856e765-51e7-420d-bd24-570ba6669a83:233","4:7856e765-51e7-420d-bd24-570ba6669a83:57","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847210","4:7856e765-51e7-420d-bd24-570ba6669a83:234","4:7856e765-51e7-420d-bd24-570ba6669a83:60","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847212","4:7856e765-51e7-420d-bd24-570ba6669a83:236","4:7856e765-51e7-420d-bd24-570ba6669a83:62","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847213","4:7856e765-51e7-420d-bd24-570ba6669a83:237","4:7856e765-51e7-420d-bd24-570ba6669a83:63","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847214","4:7856e765-51e7-420d-bd24-570ba6669a83:238","4:7856e765-51e7-420d-bd24-570ba6669a83:540","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847215","4:7856e765-51e7-420d-bd24-570ba6669a83:239","4:7856e765-51e7-420d-bd24-570ba6669a83:542","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847216","4:7856e765-51e7-420d-bd24-570ba6669a83:240","4:7856e765-51e7-420d-bd24-570ba6669a83:549","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847217","4:7856e765-51e7-420d-bd24-570ba6669a83:241","4:7856e765-51e7-420d-bd24-570ba6669a83:551","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847218","4:7856e765-51e7-420d-bd24-570ba6669a83:242","4:7856e765-51e7-420d-bd24-570ba6669a83:552","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847222","4:7856e765-51e7-420d-bd24-570ba6669a83:246","4:7856e765-51e7-420d-bd24-570ba6669a83:553","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847223","4:7856e765-51e7-420d-bd24-570ba6669a83:247","4:7856e765-51e7-420d-bd24-570ba6669a83:555","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847224","4:7856e765-51e7-420d-bd24-570ba6669a83:248","4:7856e765-51e7-420d-bd24-570ba6669a83:556","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847427","4:7856e765-51e7-420d-bd24-570ba6669a83:451","4:7856e765-51e7-420d-bd24-570ba6669a83:249","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847429","4:7856e765-51e7-420d-bd24-570ba6669a83:453","4:7856e765-51e7-420d-bd24-570ba6669a83:252","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847430","4:7856e765-51e7-420d-bd24-570ba6669a83:454","4:7856e765-51e7-420d-bd24-570ba6669a83:254","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847431","4:7856e765-51e7-420d-bd24-570ba6669a83:455","4:7856e765-51e7-420d-bd24-570ba6669a83:32","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847432","4:7856e765-51e7-420d-bd24-570ba6669a83:456","4:7856e765-51e7-420d-bd24-570ba6669a83:43","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847433","4:7856e765-51e7-420d-bd24-570ba6669a83:457","4:7856e765-51e7-420d-bd24-570ba6669a83:48","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847434","4:7856e765-51e7-420d-bd24-570ba6669a83:458","4:7856e765-51e7-420d-bd24-570ba6669a83:49","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847435","4:7856e765-51e7-420d-bd24-570ba6669a83:459","4:7856e765-51e7-420d-bd24-570ba6669a83:50","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152922604118474788","4:7856e765-51e7-420d-bd24-570ba6669a83:36","4:7856e765-51e7-420d-bd24-570ba6669a83:64","HAS_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152922604118474789","4:7856e765-51e7-420d-bd24-570ba6669a83:37","4:7856e765-51e7-420d-bd24-570ba6669a83:65","HAS_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152922604118474810","4:7856e765-51e7-420d-bd24-570ba6669a83:58","4:7856e765-51e7-420d-bd24-570ba6669a83:66","HAS_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152922604118474813","4:7856e765-51e7-420d-bd24-570ba6669a83:61","4:7856e765-51e7-420d-bd24-570ba6669a83:67","HAS_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152922604118474814","4:7856e765-51e7-420d-bd24-570ba6669a83:62","4:7856e765-51e7-420d-bd24-570ba6669a83:68","HAS_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152922604118474815","4:7856e765-51e7-420d-bd24-570ba6669a83:63","4:7856e765-51e7-420d-bd24-570ba6669a83:69","HAS_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152922604118475003","4:7856e765-51e7-420d-bd24-570ba6669a83:251","4:7856e765-51e7-420d-bd24-570ba6669a83:560","HAS_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152922604118475007","4:7856e765-51e7-420d-bd24-570ba6669a83:255","4:7856e765-51e7-420d-bd24-570ba6669a83:561","HAS_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152923703630102592","4:7856e765-51e7-420d-bd24-570ba6669a83:64","4:7856e765-51e7-420d-bd24-570ba6669a83:91","HAS_NESTED_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152923703630102593","4:7856e765-51e7-420d-bd24-570ba6669a83:65","4:7856e765-51e7-420d-bd24-570ba6669a83:71","HAS_NESTED_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152923703630102594","4:7856e765-51e7-420d-bd24-570ba6669a83:66","4:7856e765-51e7-420d-bd24-570ba6669a83:80","HAS_NESTED_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152923703630102595","4:7856e765-51e7-420d-bd24-570ba6669a83:67","4:7856e765-51e7-420d-bd24-570ba6669a83:93","HAS_NESTED_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152923703630102596","4:7856e765-51e7-420d-bd24-570ba6669a83:68","4:7856e765-51e7-420d-bd24-570ba6669a83:82","HAS_NESTED_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152923703630102597","4:7856e765-51e7-420d-bd24-570ba6669a83:69","4:7856e765-51e7-420d-bd24-570ba6669a83:85","HAS_NESTED_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152923703630103088","4:7856e765-51e7-420d-bd24-570ba6669a83:560","4:7856e765-51e7-420d-bd24-570ba6669a83:70","HAS_NESTED_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152923703630103089","4:7856e765-51e7-420d-bd24-570ba6669a83:561","4:7856e765-51e7-420d-bd24-570ba6669a83:88","HAS_NESTED_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152925902653358527","4:7856e765-51e7-420d-bd24-570ba6669a83:447","4:7856e765-51e7-420d-bd24-570ba6669a83:450","CONTAINS_CHAPTER"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152925902653358528","4:7856e765-51e7-420d-bd24-570ba6669a83:448","4:7856e765-51e7-420d-bd24-570ba6669a83:453","CONTAINS_CHAPTER"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152927002164986299","4:7856e765-51e7-420d-bd24-570ba6669a83:443","4:7856e765-51e7-420d-bd24-570ba6669a83:444","HAS_PART"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152928101676614076","4:7856e765-51e7-420d-bd24-570ba6669a83:444","4:7856e765-51e7-420d-bd24-570ba6669a83:447","CONTAINS_CHAPTER_CONTAINER"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152928101676614077","4:7856e765-51e7-420d-bd24-570ba6669a83:445","4:7856e765-51e7-420d-bd24-570ba6669a83:448","CONTAINS_CHAPTER_CONTAINER"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152928101676614078","4:7856e765-51e7-420d-bd24-570ba6669a83:446","4:7856e765-51e7-420d-bd24-570ba6669a83:449","CONTAINS_CHAPTER_CONTAINER"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241438","4:7856e765-51e7-420d-bd24-570ba6669a83:30","4:7856e765-51e7-420d-bd24-570ba6669a83:239","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241440","4:7856e765-51e7-420d-bd24-570ba6669a83:32","4:7856e765-51e7-420d-bd24-570ba6669a83:240","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241442","4:7856e765-51e7-420d-bd24-570ba6669a83:34","4:7856e765-51e7-420d-bd24-570ba6669a83:237","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241444","4:7856e765-51e7-420d-bd24-570ba6669a83:36","4:7856e765-51e7-420d-bd24-570ba6669a83:245","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241447","4:7856e765-51e7-420d-bd24-570ba6669a83:39","4:7856e765-51e7-420d-bd24-570ba6669a83:458","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241458","4:7856e765-51e7-420d-bd24-570ba6669a83:50","4:7856e765-51e7-420d-bd24-570ba6669a83:456","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241459","4:7856e765-51e7-420d-bd24-570ba6669a83:51","4:7856e765-51e7-420d-bd24-570ba6669a83:240","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241462","4:7856e765-51e7-420d-bd24-570ba6669a83:54","4:7856e765-51e7-420d-bd24-570ba6669a83:56","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241465","4:7856e765-51e7-420d-bd24-570ba6669a83:57","4:7856e765-51e7-420d-bd24-570ba6669a83:58","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241467","4:7856e765-51e7-420d-bd24-570ba6669a83:59","4:7856e765-51e7-420d-bd24-570ba6669a83:235","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241468","4:7856e765-51e7-420d-bd24-570ba6669a83:60","4:7856e765-51e7-420d-bd24-570ba6669a83:455","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241472","4:7856e765-51e7-420d-bd24-570ba6669a83:64","4:7856e765-51e7-420d-bd24-570ba6669a83:561","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241657","4:7856e765-51e7-420d-bd24-570ba6669a83:249","4:7856e765-51e7-420d-bd24-570ba6669a83:247","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241660","4:7856e765-51e7-420d-bd24-570ba6669a83:252","4:7856e765-51e7-420d-bd24-570ba6669a83:451","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241662","4:7856e765-51e7-420d-bd24-570ba6669a83:254","4:7856e765-51e7-420d-bd24-570ba6669a83:37","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241950","4:7856e765-51e7-420d-bd24-570ba6669a83:542","4:7856e765-51e7-420d-bd24-570ba6669a83:454","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241952","4:7856e765-51e7-420d-bd24-570ba6669a83:544","4:7856e765-51e7-420d-bd24-570ba6669a83:454","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241954","4:7856e765-51e7-420d-bd24-570ba6669a83:546","4:7856e765-51e7-420d-bd24-570ba6669a83:240","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241959","4:7856e765-51e7-420d-bd24-570ba6669a83:551","4:7856e765-51e7-420d-bd24-570ba6669a83:455","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241960","4:7856e765-51e7-420d-bd24-570ba6669a83:552","4:7856e765-51e7-420d-bd24-570ba6669a83:242","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241961","4:7856e765-51e7-420d-bd24-570ba6669a83:553","4:7856e765-51e7-420d-bd24-570ba6669a83:235","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152929201188241964","4:7856e765-51e7-420d-bd24-570ba6669a83:556","4:7856e765-51e7-420d-bd24-570ba6669a83:247","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155173304420532252","4:7856e765-51e7-420d-bd24-570ba6669a83:28","4:7856e765-51e7-420d-bd24-570ba6669a83:56","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155173304420532457","4:7856e765-51e7-420d-bd24-570ba6669a83:233","4:7856e765-51e7-420d-bd24-570ba6669a83:58","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155173304420532458","4:7856e765-51e7-420d-bd24-570ba6669a83:234","4:7856e765-51e7-420d-bd24-570ba6669a83:61","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155173304420532463","4:7856e765-51e7-420d-bd24-570ba6669a83:239","4:7856e765-51e7-420d-bd24-570ba6669a83:544","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155173304420532472","4:7856e765-51e7-420d-bd24-570ba6669a83:248","4:7856e765-51e7-420d-bd24-570ba6669a83:558","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155173304420532675","4:7856e765-51e7-420d-bd24-570ba6669a83:451","4:7856e765-51e7-420d-bd24-570ba6669a83:250","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155173304420532677","4:7856e765-51e7-420d-bd24-570ba6669a83:453","4:7856e765-51e7-420d-bd24-570ba6669a83:253","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155173304420532678","4:7856e765-51e7-420d-bd24-570ba6669a83:454","4:7856e765-51e7-420d-bd24-570ba6669a83:255","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155173304420532679","4:7856e765-51e7-420d-bd24-570ba6669a83:455","4:7856e765-51e7-420d-bd24-570ba6669a83:34","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155173304420532680","4:7856e765-51e7-420d-bd24-570ba6669a83:456","4:7856e765-51e7-420d-bd24-570ba6669a83:47","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155173304420532683","4:7856e765-51e7-420d-bd24-570ba6669a83:459","4:7856e765-51e7-420d-bd24-570ba6669a83:51","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155175503443787840","4:7856e765-51e7-420d-bd24-570ba6669a83:64","4:7856e765-51e7-420d-bd24-570ba6669a83:92","HAS_NESTED_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155175503443787841","4:7856e765-51e7-420d-bd24-570ba6669a83:65","4:7856e765-51e7-420d-bd24-570ba6669a83:72","HAS_NESTED_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155175503443787842","4:7856e765-51e7-420d-bd24-570ba6669a83:66","4:7856e765-51e7-420d-bd24-570ba6669a83:81","HAS_NESTED_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155175503443787843","4:7856e765-51e7-420d-bd24-570ba6669a83:67","4:7856e765-51e7-420d-bd24-570ba6669a83:94","HAS_NESTED_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155175503443787844","4:7856e765-51e7-420d-bd24-570ba6669a83:68","4:7856e765-51e7-420d-bd24-570ba6669a83:83","HAS_NESTED_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155175503443787845","4:7856e765-51e7-420d-bd24-570ba6669a83:69","4:7856e765-51e7-420d-bd24-570ba6669a83:86","HAS_NESTED_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155175503443788337","4:7856e765-51e7-420d-bd24-570ba6669a83:561","4:7856e765-51e7-420d-bd24-570ba6669a83:89","HAS_NESTED_SUBSECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155177702467043775","4:7856e765-51e7-420d-bd24-570ba6669a83:447","4:7856e765-51e7-420d-bd24-570ba6669a83:451","CONTAINS_CHAPTER"
